"","PN01764AM","PN01765AM","PN01770AM","PN01771AM","PN01772AM"
"","Producto bruto interno y demanda interna (índice 2007=100) - Manufactura - Manufactura no Primaria","Producto bruto interno y demanda interna (índice 2007=100) - Electricidad y Agua","Producto bruto interno y demanda interna (índice 2007=100) - PBI","Producto bruto interno y demanda interna (índice 2007=100) - Sectores Primarios","Producto bruto interno y demanda interna (índice 2007=100) - Sectores no Primarios"
Ene49,n.d.,n.d.,n.d.,n.d.,n.d.
Feb49,n.d.,n.d.,n.d.,n.d.,n.d.
Mar49,n.d.,n.d.,n.d.,n.d.,n.d.
Abr49,n.d.,n.d.,n.d.,n.d.,n.d.
May49,n.d.,n.d.,n.d.,n.d.,n.d.
Jun49,n.d.,n.d.,n.d.,n.d.,n.d.
Jul49,n.d.,n.d.,n.d.,n.d.,n.d.
Ago49,n.d.,n.d.,n.d.,n.d.,n.d.
Sep49,n.d.,n.d.,n.d.,n.d.,n.d.
Oct49,n.d.,n.d.,n.d.,n.d.,n.d.
Nov49,n.d.,n.d.,n.d.,n.d.,n.d.
Dic49,n.d.,n.d.,n.d.,n.d.,n.d.
Ene50,n.d.,n.d.,n.d.,n.d.,n.d.
Feb50,n.d.,n.d.,n.d.,n.d.,n.d.
Mar50,n.d.,n.d.,n.d.,n.d.,n.d.
Abr50,n.d.,n.d.,n.d.,n.d.,n.d.
May50,n.d.,n.d.,n.d.,n.d.,n.d.
Jun50,n.d.,n.d.,n.d.,n.d.,n.d.
Jul50,n.d.,n.d.,n.d.,n.d.,n.d.
Ago50,n.d.,n.d.,n.d.,n.d.,n.d.
Sep50,n.d.,n.d.,n.d.,n.d.,n.d.
Oct50,n.d.,n.d.,n.d.,n.d.,n.d.
Nov50,n.d.,n.d.,n.d.,n.d.,n.d.
Dic50,n.d.,n.d.,n.d.,n.d.,n.d.
Ene51,n.d.,n.d.,n.d.,n.d.,n.d.
Feb51,n.d.,n.d.,n.d.,n.d.,n.d.
Mar51,n.d.,n.d.,n.d.,n.d.,n.d.
Abr51,n.d.,n.d.,n.d.,n.d.,n.d.
May51,n.d.,n.d.,n.d.,n.d.,n.d.
Jun51,n.d.,n.d.,n.d.,n.d.,n.d.
Jul51,n.d.,n.d.,n.d.,n.d.,n.d.
Ago51,n.d.,n.d.,n.d.,n.d.,n.d.
Sep51,n.d.,n.d.,n.d.,n.d.,n.d.
Oct51,n.d.,n.d.,n.d.,n.d.,n.d.
Nov51,n.d.,n.d.,n.d.,n.d.,n.d.
Dic51,n.d.,n.d.,n.d.,n.d.,n.d.
Ene52,n.d.,n.d.,n.d.,n.d.,n.d.
Feb52,n.d.,n.d.,n.d.,n.d.,n.d.
Mar52,n.d.,n.d.,n.d.,n.d.,n.d.
Abr52,n.d.,n.d.,n.d.,n.d.,n.d.
May52,n.d.,n.d.,n.d.,n.d.,n.d.
Jun52,n.d.,n.d.,n.d.,n.d.,n.d.
Jul52,n.d.,n.d.,n.d.,n.d.,n.d.
Ago52,n.d.,n.d.,n.d.,n.d.,n.d.
Sep52,n.d.,n.d.,n.d.,n.d.,n.d.
Oct52,n.d.,n.d.,n.d.,n.d.,n.d.
Nov52,n.d.,n.d.,n.d.,n.d.,n.d.
Dic52,n.d.,n.d.,n.d.,n.d.,n.d.
Ene53,n.d.,n.d.,n.d.,n.d.,n.d.
Feb53,n.d.,n.d.,n.d.,n.d.,n.d.
Mar53,n.d.,n.d.,n.d.,n.d.,n.d.
Abr53,n.d.,n.d.,n.d.,n.d.,n.d.
May53,n.d.,n.d.,n.d.,n.d.,n.d.
Jun53,n.d.,n.d.,n.d.,n.d.,n.d.
Jul53,n.d.,n.d.,n.d.,n.d.,n.d.
Ago53,n.d.,n.d.,n.d.,n.d.,n.d.
Sep53,n.d.,n.d.,n.d.,n.d.,n.d.
Oct53,n.d.,n.d.,n.d.,n.d.,n.d.
Nov53,n.d.,n.d.,n.d.,n.d.,n.d.
Dic53,n.d.,n.d.,n.d.,n.d.,n.d.
Ene54,n.d.,n.d.,n.d.,n.d.,n.d.
Feb54,n.d.,n.d.,n.d.,n.d.,n.d.
Mar54,n.d.,n.d.,n.d.,n.d.,n.d.
