"","PN02196PM"
"","Empleo mensual en Lima Metropolitana (porcentaje) - Tasa de Desempleo (%)"
Mar01,8.78589507969259
Abr01,9.81573290724851
May01,9.14037864494315
Jun01,9.51738418674935
Jul01,8.92855455583457
Ago01,10.0234670854596
Sep01,9.68815312371954
Oct01,9.4327839120455
Nov01,9.23951039264397
Dic01,7.93371497990013
Ene02,10.8210160862801
Feb02,11.1415478228648
Mar02,9.91465090271338
Abr02,10.98207073233
May02,9.68020770271182
Jun02,8.97673331707245
Jul02,8.20112579951467
Ago02,8.97351385682282
Sep02,8.38225228944715
Oct02,8.11878730123345
Nov02,8.89600835692012
Dic02,8.9413957665558
Ene03,9.92267671642315
Feb03,9.56073130500738
Mar03,10.6022516326713
Abr03,9.42040872816171
May03,9.30447681308653
Jun03,9.09796877898388
Jul03,8.21841385609748
Ago03,10.5054308912697
Sep03,8.20846923256921
Oct03,9.05546638848261
Nov03,9.40818341575859
Dic03,9.73766995759175
Ene04,11.1181289123423
Feb04,10.5844467996861
Mar04,10.221798990617
Abr04,10.6853369535188
May04,9.09441381565714
Jun04,8.60544629416067
Jul04,8.07800440176208
Ago04,9.4550913805413
Sep04,9.14034496246395
Oct04,9.1846152647588
Nov04,8.26706469829872
Dic04,8.76922978147399
Ene05,13.0016689853975
Feb05,10.5661293058394
Mar05,10.4045724501863
Abr05,9.66330669766938
May05,10.2511522348758
Jun05,9.06372359798323
Jul05,8.54959654516992
Ago05,10.0190055845582
Sep05,9.30574461644759
Oct05,7.89968028031447
Nov05,8.60886719008532
Dic05,7.58910498635604
Ene06,10.4236696068672
Feb06,8.90270964055614
Mar06,7.74431546288882
Abr06,9.47161444619914
May06,9.33863094288064
Jun06,8.01675521138523
Jul06,8.21328511209327
Ago06,9.07728357150376
Sep06,8.17310159307947
Oct06,7.16012211364452
Nov06,8.5061455855503
Dic06,7.47591797118719
Ene07,11.5465948209066
Feb07,9.46085193369183
Mar07,8.3192064370993
Abr07,9.26160435224987
May07,8.02384511617298
Jun07,7.60034352098779
Jul07,8.17860602857654
Ago07,7.96764727941879
Sep07,8.35940031325151
Oct07,7.43638963817389
Nov07,7.94871476815506
Dic07,6.94553323029256
Ene08,9.39635210338638
Feb08,10.5393786317847
Mar08,8.00132286666894
Abr08,8.52731417281129
May08,7.86065748543562
Jun08,7.35431800363168
Jul08,9.15737825433858
Ago08,8.60759667902099
Sep08,7.72696772475435
Oct08,7.32356955468303
Nov08,7.89478193551405
Dic08,8.10954380327023
Ene09,10.319149137483
Feb09,9.40200370939661
Mar09,8.19157788032284
Abr09,8.71992316150877
May09,8.46373258267255
Jun09,8.27970836147233
Jul09,7.86327005983355
Ago09,8.77255956191767
Sep09,6.84014028260336
Oct09,7.27079007812297
Nov09,7.55010450824873
Dic09,8.94085836039004
Ene10,9.29339168197025
Feb10,10.5391572455501
Mar10,7.69875898116029
Abr10,8.79615409468682
May10,6.70375873773764
Jun10,7.21883276371187
Jul10,7.26204295986182
Ago10,7.73416883029675
Sep10,7.92318248721371
Oct10,7.89565964048354
Nov10,6.94102954939395
Dic10,6.56114522183431
Ene11,9.43185240376184
Feb11,11.1386337286124
Mar11,7.45400249757788
Abr11,7.78369418831642
May11,6.77759344015471
Jun11,7.30960986107731
Jul11,6.81137727962302
Ago11,6.92972510424168
Sep11,8.1553813237413
Oct11,6.88371806802166
Nov11,6.08555144525345
Dic11,7.92277298172455
Ene12,9.20095423839552
Feb12,7.82794816692679
Mar12,8.94435883839956
Abr12,7.40158154703962
May12,5.29648771214002
Jun12,6.22434833629439
Jul12,7.09592188473825
Ago12,6.67718039946407
Sep12,6.04923413202829
Oct12,5.97790694567552
Nov12,5.69580098676022
Dic12,5.19941974174245
Ene13,7.52050239582342
Feb13,6.51008830306797
Mar13,5.20530385965797
Abr13,5.11073158238316
May13,6.71344583318781
Jun13,5.483225165304
Jul13,5.91568187129372
Ago13,5.25345269467716
Sep13,6.62486048671313
Oct13,5.32049134314417
Nov13,5.19436367760023
Dic13,6.50876043938834
Ene14,7.40448506588124
Feb14,7.02442805529297
Mar14,6.40662419488862
Abr14,5.47056517645416
May14,5.58007969067874
Jun14,5.94120158812587
Jul14,5.64805243575223
Ago14,6.05948924908288
Sep14,5.0978283672752
Oct14,5.8953183200638
Nov14,5.2453537057751
Dic14,5.51812816445213
Ene15,8.26721347011453
Feb15,6.84932129472537
Mar15,5.94795007843129
Abr15,7.64242458045003
May15,7.3865367669669
Jun15,5.4496038421664
Jul15,6.46270160361539
Ago15,6.46243636917044
Sep15,6.32780973503223
Oct15,4.67440206233757
Nov15,6.2442464070487
Dic15,6.15866616827083
Ene16,7.36666371862606
Feb16,7.17718144406661
Mar16,7.11478903926445
Abr16,6.64349705960053
May16,7.58135615338767
Jun16,6.73136431475414
Jul16,7.03966699161489
Ago16,6.71451554098483
Sep16,5.7366871061401
Oct16,6.11510517017022
Nov16,5.66246542080995
Dic16,7.00913936416128
Ene17,8.92193069505854
Feb17,7.24788803221626
Mar17,6.99398318786605
Abr17,6.19831120406008
May17,6.60061476957982
Jun17,7.95523742735396
Jul17,6.5880954997731
Ago17,5.47501904464711
Sep17,7.20845152434078
Oct17,5.92547800302283
Nov17,6.52556140068529
Dic17,6.86285996132838
Ene18,8.53553953047079
Feb18,8.66149506550997
Mar18,6.99494237364711
Abr18,n.d.
May18,n.d.
Jun18,n.d.
	 
