"","PN01251PM","PN01259PM"
"","Índice del tipo de cambio real (base 2009=100) - Bilateral","Índice del tipo de cambio real (base 2009=100) - Multilateral"
Ene91,104.108764316174,100.003012725708
Feb91,97.9448920759947,94.8678744669978
Mar91,93.1966436477393,89.6039130214077
Abr91,99.2294873873739,94.0499513015762
May91,116.393008064087,110.919613986011
Jun91,114.257639958353,107.175137411357
Jul91,101.799592021739,94.3328679076733
Ago91,92.1857748392824,86.1545187088883
Sep91,87.9235324319299,82.769737539313
Oct91,97.3770052756827,91.3705576869233
Nov91,104.460729363884,98.2921587067846
Dic91,98.5341942856035,93.3108869496455
Ene92,94.3788927014237,89.3511972848027
Feb92,88.927773439038,84.0179239467334
Mar92,81.7720354706889,76.7938112660542
Abr92,84.8979037160558,79.9913346763553
May92,91.0047435868165,86.7691697293805
Jun92,91.8578847260171,87.5210546114032
Jul92,93.0056589531499,89.1542663802058
Ago92,94.4872934587316,91.512712391848
Sep92,98.5950213772861,95.3822367558613
Oct92,107.946387492804,103.416109287723
Nov92,108.864798130645,102.316943735912
Dic92,105.436866445536,99.050317108467
Ene93,105.021951301488,98.7957430399129
Feb93,106.173595183158,99.8012427435303
Mar93,106.939941042148,100.806551753961
Abr93,106.738074713222,101.796628122228
May93,106.707245094529,102.57738684637
Jun93,107.017089479457,102.21725732714
Jul93,106.443050358004,100.769508844068
Ago93,105.520680556043,100.585383863392
Sep93,105.068914549117,101.565737862024
Oct93,106.138297110637,102.292233323779
Nov93,105.957351215296,101.749103332176
Dic93,102.994078163361,99.8563071936067
Ene94,102.065722721046,88.8028293632963
Feb94,100.664584478353,88.629662936537
Mar94,98.5613067575871,87.7555929890298
Abr94,97.7019600148281,87.1248785881284
May94,97.2465230588753,87.9141299898542
Jun94,96.7043289246259,88.6029670203809
Jul94,96.3822281501388,88.8364035914334
Ago94,96.7615479616582,90.5753033023643
Sep94,97.6463329314381,92.9731430760197
Oct94,96.4739034150147,92.7677012048592
Nov94,93.6461813287882,90.2068733027201
Dic94,90.7312191593033,87.5017333546965
Ene95,92.8839366106627,89.6645280601846
Feb95,93.2075310567238,90.6312613990045
