"","PN02508AQ","PN02509AQ","PN02510AQ","PN02511AQ","PN02512AQ","PN02513AQ","PN02514AQ","PN02515AQ","PN02516AQ"
"","Producto bruto interno (índice 2007 = 100) - Agropecuario","Producto bruto interno (índice 2007 = 100) - Pesca","Producto bruto interno (índice 2007 = 100) - Minería e Hidrocarburos","Producto bruto interno (índice 2007 = 100) - Manufactura","Producto bruto interno (índice 2007 = 100) - Electricidad y Agua","Producto bruto interno (índice 2007 = 100) - Construcción","Producto bruto interno (índice 2007 = 100) - Comercio","Producto bruto interno (índice 2007 = 100) - Servicios","Producto bruto interno (índice 2007 = 100) - PBI Global"
"T180",36.0419670264475,19.490413902807,65.6301486287467,49.6201960139516,28.086312046545,33.2968749941366,47.714757210983,40.819325296648,45.4904898372672
"T280",52.9970595862013,19.3115248160639,67.5353383184162,55.1240660704434,29.3914728707547,39.8681406987563,58.7439487086741,51.3121973380904,53.9293764282633
"T380",43.3613602964313,15.2192435069322,65.6678403017331,57.4143272720361,30.5087642507683,35.1596100182815,54.4332881394964,51.7675122219167,52.9814328779529
"T480",33.6266569187985,15.6911402309133,64.140611563969,62.2662028112739,31.4685134032421,40.3301424046086,58.157081791445,59.8021491540666,57.2948787825149
"T181",33.1987171772757,21.1571384031001,61.4984019029816,55.3355452047747,29.4632689473731,40.2908513797822,53.2216898194877,45.6718667320734,48.8291888155325
"T281",60.9509091734388,23.0157249355721,63.9887249668023,58.8839237863108,31.2617190004096,39.2727606162797,65.1257083061777,56.1183024285438,57.3774041403412
"T381",51.1078933164547,15.5594089342984,61.4880176521591,60.150379926546,33.6485097022519,42.3527944704916,56.5462991082623,56.9925000074466,56.3073828013771
"T481",36.1443730858896,20.1991211511808,65.853890484336,61.7091269397289,33.8763822344911,44.0961913445059,57.9904246599428,61.9501039650479,58.8246216513211
"T182",37.3412182596007,24.6847341932769,62.8760959867019,54.5021310526902,33.5565666427835,43.3576630452465,56.1665775814476,47.7699009706129,50.6421443730994
"T282",64.8700639169664,26.4786143460474,62.9566385322111,56.336267686545,34.5473185513376,40.3459177881657,65.0050507065113,57.5547452762974,57.8193310155602
"T382",46.6132012579112,18.3267846227472,66.7628214120969,56.2515967258525,35.365622543641,42.0678058887026,54.2891920441906,54.6927382802696,54.9136804768091
"T482",36.2232157870956,19.849930568866,65.4276289378126,56.1910089472061,35.2407808562958,42.8870573142618,56.1401191643947,61.6042804279271,57.4704685956412
"T183",39.5053522968446,15.1888990450047,52.7555072289031,45.8656048178003,28.563061623999,32.1688810169856,46.1272990210373,46.5556459222713,45.5913506934113
"T283",56.8694111504667,9.41021320426411,58.69188425657,45.1640972031417,28.7910539151314,30.9854397038372,52.4383576500416,54.0560562928542,51.31325834933
"T383",38.4325539734788,15.8731283017953,60.8954683809873,45.3745330643882,28.350685243218,32.6893550301274,44.4873242019587,51.9602546916617,48.9304246661732
"T483",32.4150707923593,22.3026905932121,60.3600077357361,46.3594136733571,30.7711513477065,37.6857638807566,46.7616858198146,58.1073329044153,52.0247886764984
"T184",38.1085001396942,20.4150272983441,58.7778560468741,42.5658377832194,27.0723169630027,32.4290902448816,42.5089505586913,44.2275216391755,44.4280792817022
"T284",59.5632574767762,24.045219014768,59.6614374940917,46.7044022606849,28.8462699612198,30.9379512818957,52.4995771619923,54.8954472126279,52.3617994756107
"T384",48.8938276834094,21.7661537499723,62.5487668939354,48.4367412322911,31.2018943340562,34.8292318605007,47.4269080352543,54.4691315479,51.9382714720204
"T484",37.7691014813571,25.6517336602093,62.8278551930951,55.5249766081759,29.7187770231488,36.4117958283823,51.3623884504172,61.7374233598653,56.2710214916589
