"","PN10029BQ"
"","Términos de intercambio de comercio exterior (índice 2007 = 100) - Términos de Intercambio"
"T190",69.7678873686308
"T290",65.8391346630236
"T390",64.9118700853679
"T490",63.9494530809985
"T191",64.2475038194507
"T291",62.1390932106811
"T391",63.2666840261032
"T491",62.5001172465226
"T192",62.3203517407522
"T292",61.2939064101029
"T392",60.5848145312075
"T492",61.5322524914459
"T193",59.0887439419583
"T293",55.3841458928474
"T393",53.2381592165544
"T493",53.0082705283248
"T194",56.7750747123466
"T294",57.6776282684695
"T394",59.8881361833335
"T494",62.7640922827846
"T195",64.7527301507816
"T295",62.4126707376065
"T395",64.6735593749513
"T495",63.5631711618898
"T196",62.7917963973734
"T296",63.1832897053762
"T396",58.8918258802264
"T496",61.2725468931754
"T197",63.8033827870357
"T297",65.5385376561661
"T397",66.1863590829603
"T497",63.5065073371575
"T198",63.5962489684909
"T298",64.9022193919583
"T398",63.9440709124798
"T498",59.7877316216812
"T199",59.4969944527576
"T299",57.4011673259128
"T399",58.141302780786
"T499",60.4937689604177
"T100",58.8893417379056
"T200",57.2376535136325
"T300",57.8592590204164
"T400",56.3149291728493
"T101",57.1108180709706
"T201",56.6481285204173
"T301",56.9478337090114
"T401",57.8926682813907
"T102",59.8429149586824
"T202",60.8590428068092
"T302",60.7523928577759
"T402",62.3297798902009
"T103",60.5363025442898
"T203",59.3028191803954
"T303",62.0934313095082
"T403",65.8173091739656
"T104",70.8359847088467
"T204",71.814849022437
"T304",68.642380092418
"T404",70.9638033318926
"T105",72.0939849565197
"T205",74.4138454666865
"T305",74.5650387841867
"T405",78.2582300564705
"T106",85.709036566507
"T206",97.707626791736
"T306",98.8539090909915
"T406",100.837733736183
"T107",98.2130958754962
"T207",104.73915681682
"T307",100.37648775198
"T407",96.931132585142
"T108",97.1946635554001
"T208",94.4783445514248
"T308",87.7352953608955
"T408",75.7751976071358
"T109",77.6187147148696
"T209",82.8980102328731
"T309",88.746181279306
"T409",97.5658959661907
"T110",101.132855633692
"T210",104.025240317135
"T310",104.13493928503
"T410",110.692460293244
"T111",114.098221606176
"T211",112.572674662693
"T311",114.437546419397
"T411",108.578799306995
"T112",111.204201068185
"T212",108.899455187585
"T312",108.234882756728
"T412",111.130971676555
"T113",111.459689325262
"T213",103.2842751369
"T313",101.275062775975
"T413",100.516440175041
"T114",99.9169997158214
"T214",96.8851063030012
"T314",99.3462594230587
"T414",97.9424539223103
"T115",94.3440971082276
"T215",94.2680457017194
"T315",90.2597055994395
"T415",89.84802967563
"T116",88.4066667090032
"T216",89.7785308709383
"T316",92.7747393081107
"T416",95.2353085058741
"T117",95.8523161444561
"T217",93.6176125747235
"T317",99.1080711136334
"T417",104.290969106195
"T118",102.710115768441
	 
