"","PN02932BQ","PN02936BQ"
"","Posición de activos y pasivos internacionales (millones US$) - Activos","Posición de activos y pasivos internacionales (millones US$) - Pasivos"
"T180",3335.54463360543,9961.21970472636
"T280",3895.1954539102,10201.7697047264
"T380",4028.52243524293,10496.6197047264
"T480",4008.52983642009,10843.0697047264
"T181",3672.68492962985,10424.7197047264
"T281",3159.2982014994,10575.9697047264
"T381",2991.39266131135,10634.7197047264
"T481",2937.26076305739,10762.9697047264
"T182",2795.66760398144,11287.6197047264
"T282",3322.1821027703,12051.0697047264
"T382",3444.04763275319,12401.7197047264
"T482",3677.28692238404,12913.3697047264
"T183",3372.33230288905,13123.3697047264
"T283",3913.4293587337,14089.0697047264
"T383",3835.42741621982,14009.1697047264
"T483",3784.06848550086,14748.0697047264
"T184",3853.00245968082,14879.8197047264
"T284",3941.74650235586,15000.5697047264
"T384",4057.61171393881,15164.3197047264
"T484",4052.55950530017,14550.0697047264
"T185",4029.34951999308,14566.5697047264
"T285",3926.67925694919,14433.0697047264
"T385",4092.29390198946,14566.5697047264
"T485",4630.84212741143,15556.0697047264
"T186",4991.82731483033,15931.7641491708
"T286",4785.29336582893,16098.2641491708
"T386",4873.32112183167,16327.7641491708
"T486",4561.78083498487,17652.0697047264
"T187",4438.7307001631,17827.0186294575
"T287",4370.49582005177,18144.9937802574
"T387",4222.03915001946,18487.2652856338
"T487",4109.22663207498,20383.0697047264
"T188",3866.71937474135,20658.329320111
"T288",3887.43347683867,20880.9735508802
"T388",4144.61949543763,21520.7139354956
"T488",4434.64921054226,21595.0697047264
"T189",4780.32040590904,22107.1102726777
"T289",5172.84017615824,22331.6802523937
"T389",5486.44938346477,22518.6457696351
"T489",5566.62321244368,22740.0697047264
"T190",5001.16340379495,23190.9195975451
"T290",4857.33677730792,23639.7694903639
"T390",5390.82723352261,24084.6193831827
"T490",5419.3153015884,24186.4692760015
"T191",5406.78646009831,24512.5978135979
"T291",5770.21582766578,24990.2263511943
"T391",5869.67808191738,25076.1048887907
"T491",6541.32754485302,26814.4834263871
"T192",6589.01225926852,27176.8645539101
"T292",6534.85790960738,27480.2456814331
"T392",6697.88914143011,27945.6268089561
"T492",6756.12792026765,28143.007936479
"T193",6962.15269712916,28516.507936479
"T293",7009.16928500981,28912.007936479
"T393",6970.77427894966,29307.763936479
"T493",7184.08070895608,29784.263936479
"T194",7432.15091870046,30355.013936479
"T294",9269.71945381735,32946.263936479
"T394",10014.5960923929,33853.513936479
"T494",10831.8652561569,36277.763936479
"T195",11081.7199181416,36530.913936479
"T295",11444.69369,37997.663936479
"T395",11466.6849107143,38975.413936479
"T495",12519.364878778,40471.8308232928
"T196",12970.0522264208,40794.9629655556
"T296",13264.8872908562,41867.2670659139
"T396",14711.7526959132,43716.553537862
"T496",14885.374047618,43613.019490193
"T197",15487.0776336166,38854.904436951
"T297",15982.5553075619,39128.3718243949
"T397",15932.6676496755,39526.6416574699
"T497",16247.3230193001,40301.7389459405
"T198",16480.4091096313,40326.4246978044
"T298",16705.6169842102,41025.6959085202
"T398",16162.6895729978,40734.4328652619
"T498",15217.7841001615,41176.9941041505
"T199",14955.5138769712,40874.7948685481
"T299",15132.6220359257,40803.9470982898
"T399",14825.2555282721,40870.4402024981
"T499",14552.4058573735,41236.1670694376
"T100",14594.1649982775,41646.7775729935
"T200",14549.5543930301,41122.4348444083
"T300",14482.6843247453,41448.6166114776
"T400",14377.1353554696,41320.596286627
"T101",14232.1565171893,40772.3451354223
"T201",14481.5658918129,41287.477274642
"T301",14311.376083879,41361.7669159172
"T401",14412.9380783855,41456.1285239096
"T102",14187.2779263205,41443.9685891578
"T202",14431.3829263205,42124.6711712782
"T302",15197.4447827172,41992.0756381441
"T402",15114.0930869928,42693.7249000218
"T103",15836.378602926,43689.4901510097
"T203",15853.1895916229,43948.1105924818
"T303",15714.6609850386,43146.7298870186
"T403",16995.0633057847,45148.3898463458
"T104",17049.265931582,45785.8354225694
"T204",17720.7746324258,45977.2111459154
"T304",18364.4334518449,45687.6358050355
"T404",20061.7348368475,47214.0193754917
"T105",21179.8252800542,48601.7748395429
"T205",21881.9848765595,48800.1361233017
"T305",23036.1884286195,48728.6653345887
"T405",24004.5280592042,50936.1249786727
"T106",25902.5980432146,51413.6422931206
"T206",27287.2164756591,55598.8975007504
"T306",28923.1461912531,55209.5082327678
"T406",31448.1528759181,57914.102869179
"T107",33106.1683136786,62738.0523949535
"T207",38473.4947626787,69735.8117652884
"T307",41985.0097958501,74279.8166400634
"T407",46188.8955240963,79124.0199472539
"T108",51846.7538223544,89607.2419769664
"T208",54284.9191171577,89508.6446854304
"T308",51700.0991532228,85561.9562747584
"T408",46782.7060543339,78656.9579782818
"T109",46787.2256921874,77880.4729087477
"T209",49111.877925075,80650.6810562416
"T309",54409.477457428,85642.0680115028
"T409",55650.8567215418,89312.2790878365
"T110",58474.1681108984,92906.6258263417
"T210",59378.3791787128,95979.9235410458
"T310",68285.5703351902,106768.233562682
"T410",72065.6056744775,114909.612244265
"T111",74413.4427729857,116679.040678483
"T211",75036.9364312529,114692.36698412
"T311",77098.3172412684,117188.047970325
"T411",79147.9291137147,120247.342809661
"T112",88927.8539463623,130873.2751134
"T212",90487.9838671971,133192.979918905
"T312",94699.2470183378,139400.860187243
"T412",99794.2286104342,145668.175294995
"T113",106402.403401511,152873.998229907
"T213",101962.347278389,151201.503184894
"T313",102868.025824438,153842.527415414
"T413",102420.659136395,154508.982004648
"T114",103319.937492834,156786.883787026
"T214",104317.184943512,159726.370305377
"T314",105581.278983293,164703.478356553
"T414",105156.681283571,164780.25452377
"T115",106113.813657606,167096.18938043
"T215",105034.789362539,167579.372520937
"T315",107311.106290285,169897.027296832
"T415",105593.889970754,170831.687709492
"T116",106977.686016927,176552.104984852
"T216",107048.506004836,180415.939751035
"T316",109111.366134596,184158.908938071
"T416",109507.892596427,184767.483162901
"T117",112492.002383611,188314.148553602
"T217",116863.3714763,191446.550603512
"T317",120001.516319062,195168.271181132
"T417",120468.6290628,199072.814674637
"T118",120058.366972607,200678.953664663
	 
