"","PN02529AQ","PN02530AQ","PN02533AQ","PN02534AQ","PN02536AQ","PN02537AQ"
"","Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Consumo Privado","Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Consumo Público","Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Inversión Bruta Interna - Inversión Bruta Fija - Privada","Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Inversión Bruta Interna - Inversión Bruta Fija - Pública","Producto bruto interno por tipo de gasto (millones S/ 2007) - Exportaciones","Producto bruto interno por tipo de gasto (millones S/ 2007) - Importaciones"
"T180",24238.8480739705,6645.94820179181,4541.78994029277,2147.44124955717,7885.95273099851,5366.6865071817
"T280",24316.1378632946,6063.53102960341,5682.38825535808,2205.91673009327,7449.19008572942,6554.87766105818
"T380",27480.4142594149,5765.20964847362,5320.98870869443,1988.55528551084,6788.29342808626,6141.04933532909
"T480",28586.5998033201,5710.31112013116,6224.96467292502,3335.5924342108,7623.19466434962,7186.66930449271
"T181",28249.5746683219,6374.47551152611,6349.40839851429,2107.18555843071,7675.20099646005,7017.93115634751
"T281",26248.2321033902,6059.98024584528,5902.40679147376,3064.00970194484,6997.28092536182,7778.40133271779
"T381",29345.9621028946,5837.33649004445,6303.40160300429,2689.49451247823,7000.3110620464,7005.00854215892
"T481",28596.2311253933,5464.20775258416,7144.84125546296,4184.66563280636,7299.78164844183,8098.21317273359
"T182",27416.0377516322,6597.00083338495,6839.29459357293,2425.02394010867,7778.46755390881,7624.50873338657
"T282",25225.9543025731,4970.46733380039,6107.26126324623,2658.51953318074,8523.06693070008,7324.73436273637
"T382",29457.2530713548,9703.18305402344,5947.26015095205,2518.03239594336,7611.52267870414,6864.39790928774
"T482",27626.7548744399,4683.34877879122,4941.04872746119,4873.4241158028,7942.93866342742,8159.76580211735
"T183",26792.4320578985,6339.80352925487,4226.603388473,1889.11697773388,6412.15361646875,5050.82043635669
"T283",25383.6373825246,6889.20187282953,3323.66048522853,2275.88664729886,7731.07268130226,6305.34855106966
"T383",26468.4773826716,5603.70573489632,3824.9487020081,2311.54630875399,7344.85367384318,5561.48402579058
